Wall time,Step,Value
1677060783.0338094,18,0.37808728218078613
1677060796.8092358,42,0.2715076804161072
1677060798.5347443,45,0.2852776348590851
1677060813.4531958,71,0.1825820952653885
1677060826.649408,94,0.17796792089939117
1677060863.4173355,158,0.19392602145671844
1677060868.6043212,167,0.4249669909477234
1677060904.3874054,229,0.28919392824172974
1677060907.2685287,234,0.377575546503067
1677060919.388088,255,0.10738039016723633
1677060929.770737,273,0.09870371967554092
1677060949.9740179,308,0.21247030794620514
1677060951.1302483,310,0.12623630464076996
1677060955.7528443,318,0.08290267735719681
1677060984.040448,367,0.09082882106304169
1677061015.231426,421,0.1990756094455719
1677061037.7562,460,0.15437228977680206
1677061045.828126,474,0.2781532108783722
1677061081.5605416,536,0.11007287353277206
1677061097.0806377,563,0.08947524428367615
1677061106.3063047,579,0.18044528365135193
1677061110.339792,586,0.2806103229522705
1677061110.9155087,587,0.12936478853225708
1677061138.1011646,634,0.11961864680051804
1677061145.6207519,647,0.09914029389619827
1677061153.6946623,661,0.16303060948848724
1677061159.4711165,671,0.14681218564510345
1677061184.3697445,714,0.1033194437623024
1677061189.0062513,722,0.16168449819087982
1677061213.8510404,765,0.1763632446527481
1677061217.3234649,771,0.07549220323562622
1677061225.4178734,785,0.19165509939193726
1677061226.5741203,787,0.15047509968280792
1677061553.3947973,802,0.11918181926012039
1677061556.869216,808,0.0941271111369133
1677061573.0971725,836,0.18062393367290497
1677061636.3021445,945,0.11547313630580902
1677061651.376438,971,0.12678134441375732
1677061651.9551797,972,0.0842478796839714
1677061655.4248383,978,0.07117926329374313
1677061671.0539234,1005,0.19823499023914337
1677061676.2688384,1014,0.1265837550163269
1677061704.6266193,1063,0.10814819484949112
1677061706.3637593,1066,0.08553602546453476
1677061722.0162747,1093,0.1723071187734604
1677061728.4118323,1104,0.20859821140766144
1677061761.4047859,1161,0.22305189073085785
1677061761.9833121,1162,0.2217482477426529
1677061772.393049,1180,0.1945076435804367
1677061809.4979725,1244,0.3854714035987854
1677061819.3222935,1261,0.09439651668071747
1677061851.1840603,1316,0.08000148087739944
1677061852.9277246,1319,0.12761525809764862
1677061861.052231,1333,0.141090989112854
1677061863.373857,1337,0.24572473764419556
1677061891.2229245,1385,0.13167372345924377
1677061895.2834525,1392,0.08584284782409668
1677061908.0356011,1414,0.13524571061134338
1677061915.0114548,1426,0.16522705554962158
1677061920.8056085,1436,0.13493087887763977
1677061938.160215,1466,0.3647076487541199
1677061944.5278707,1477,0.15134158730506897
1677061952.6394632,1491,0.06860723346471786
1677061971.1832166,1523,0.14178086817264557
1677061988.0188062,1552,0.14847232401371002
1677061997.3077195,1568,0.09004233777523041
1677062006.6008294,1584,0.2382858842611313
1677062008.925801,1588,0.12482453137636185
1677062337.630164,1605,0.22409668564796448
1677062357.9118686,1640,0.13210128247737885
1677062387.428577,1691,0.2570783197879791
1677062397.8479252,1709,0.07128449529409409
1677062403.0546951,1718,0.19448241591453552
1677062411.143754,1732,0.059730421751737595
1677062412.3020496,1734,0.18561862409114838
1677062414.038376,1737,0.08624240756034851
1677062439.490444,1781,0.31599387526512146
1677062465.546077,1826,0.05383932590484619
1677062475.972266,1844,0.046429574489593506
1677062481.1795769,1853,0.0861148089170456
1677062488.6972976,1866,0.08146139234304428
1677062490.4325469,1869,0.0672949030995369
1677062495.0644422,1877,0.14547525346279144
1677062518.220219,1917,0.0951475128531456
1677062528.0700216,1934,0.12567920982837677
1677062533.863388,1944,0.15999476611614227
1677062535.6008344,1947,0.24195148050785065
1677062566.8643148,2001,0.19086910784244537
1677062573.8163075,2013,0.14362280070781708
1677062587.1370873,2036,0.055057454854249954
1677062610.8642888,2077,0.30185019969940186
1677062615.4981556,2085,0.07256340980529785
1677062617.8158772,2089,0.17229630053043365
1677062621.8593907,2096,0.06502516567707062
1677062674.4812403,2187,0.08985060453414917
1677062681.4234905,2199,0.0883672907948494
1677062688.370985,2211,0.28083303570747375
1677062699.9478729,2231,0.07606367766857147
1677062702.8423831,2236,0.08408324420452118
1677062703.4208696,2237,0.2327287793159485
1677062714.979597,2257,0.0422874316573143
1677062717.859205,2262,0.16658324003219604
1677062743.8652096,2307,0.29299935698509216
1677062750.8094811,2319,0.148020401597023
1677062765.8884578,2345,0.1483578383922577
1677062771.1128736,2354,0.08936767280101776
1677062791.410749,2389,0.101332888007164
1677062791.9890718,2390,0.05756096914410591
1677062793.1504643,2392,0.21523109078407288
1677063136.6654253,2436,0.07360546290874481
1677063146.5368474,2453,0.050630759447813034
1677063147.6980844,2455,0.28091961145401
1677063150.597446,2460,0.11638905853033066
1677063165.1018455,2485,0.10065152496099472
1677063165.6802347,2486,0.12417084723711014
1677063171.4787846,2496,0.11569005995988846
1677063172.639944,2498,0.3288884460926056
1677063175.5367718,2503,0.11259575933218002
1677063183.6551576,2517,0.20061779022216797
1677063187.133956,2523,0.07374456524848938
1677063192.3554928,2532,0.09846166521310806
1677063201.0503092,2547,0.16373370587825775
1677063204.5250554,2553,0.06743954122066498
1677063280.894689,2685,0.10896650701761246
1677063291.2773898,2703,0.11388605833053589
1677063312.6711254,2740,0.07219814509153366
1677063320.7696598,2754,0.06364091485738754
1677063341.0232542,2789,0.11503332108259201
1677063402.9200642,2896,0.18619850277900696
1677063444.11042,2967,0.11060693860054016
1677063448.7581768,2975,0.1308659017086029
1677063469.6504478,3011,0.07686924934387207
1677063485.2845209,3038,0.12710952758789062
1677063487.025792,3041,0.11924512684345245
1677063520.599149,3099,0.10621683299541473
1677063556.4122996,3161,0.09520876407623291
1677063576.6348648,3196,0.04488600417971611
1677063865.034249,3230,0.12323514372110367
1677063870.8079982,3240,0.07883016020059586
1677063873.1167033,3244,0.1184648796916008
1677063874.2727554,3246,0.04314558207988739
1677063874.8497684,3247,0.0650436133146286
1677063908.34672,3305,0.05679776147007942
1677063931.4647403,3345,0.03715365380048752
1677063949.3843675,3376,0.03864124417304993
1677063967.8749666,3408,0.03605899214744568
1677063980.6058507,3430,0.14279213547706604
1677063991.5979526,3449,0.050988614559173584
1677064000.2610202,3464,0.15977276861667633
1677064009.503062,3480,0.08359362185001373
1677064078.8977277,3600,0.11721879988908768
1677064089.3027108,3618,0.038278158754110336
1677064090.4580662,3620,0.2282884269952774
1677064111.259572,3656,0.09738795459270477
1677064119.3456166,3670,0.21334825456142426
1677064151.710432,3726,0.0347818098962307
1677064154.0231771,3730,0.11558937281370163
1677064160.376821,3741,0.09589540958404541
1677064190.4256525,3793,0.12236161530017853
1677064202.5604987,3814,0.15076445043087006
1677064205.449092,3819,0.09465475380420685
1677064206.6053634,3821,0.07130493968725204
1677064212.382913,3831,0.24520501494407654
1677064231.4642892,3864,0.09380784630775452
1677064268.4934468,3928,0.057017773389816284
1677064284.6995492,3956,0.07291661947965622
1677064300.8894083,3984,0.20625625550746918
1677064592.0113723,4022,0.08944720029830933
1677064598.3633685,4033,0.03717631846666336
1677064600.1007323,4036,0.14448755979537964
1677064633.0695028,4093,0.17314501106739044
1677064635.9641185,4098,0.11818978190422058
1677064642.3248885,4109,0.09266657382249832
1677064684.5312605,4182,0.0700879618525505
1677064691.482065,4194,0.050325069576501846
1677064692.6386173,4196,0.13869982957839966
1677064696.1136148,4202,0.3790600001811981
1677064710.600494,4227,0.162047877907753
1677064713.4939692,4232,0.12152352184057236
1677064715.2296634,4235,0.11687134206295013
1677064731.4081697,4263,0.05848933383822441
1677064733.1387067,4266,0.1796838790178299
1677064755.0503614,4304,0.3451852798461914
1677064762.550912,4317,0.18078500032424927
1677064763.7005758,4319,0.12964990735054016
1677064810.418881,4400,0.04119519144296646
1677064829.501459,4433,0.10751111060380936
1677064863.6308494,4492,0.09517886489629745
1677064873.4775956,4509,0.13641677796840668
1677064885.654673,4530,0.08499257266521454
1677064913.4924748,4578,0.1263226568698883
1677064915.232234,4581,0.033020615577697754
1677064942.457432,4628,0.20581397414207458
1677064963.3083766,4664,0.15523084998130798
1677064965.6261685,4668,0.08416645228862762
1677064970.263415,4676,0.05005264654755592
1677064991.7030826,4713,0.05646810308098793
1677065013.1410317,4750,0.08859726041555405
1677065017.7697458,4758,0.06885257363319397
1677065035.1576142,4788,0.07289069145917892
1677065042.1160688,4800,0.056042976677417755
1677065043.2782202,4802,0.19945301115512848
1677065334.4773722,4840,0.09408610314130783
1677065341.4269655,4852,0.2118794471025467
1677065365.761342,4894,0.05341961607336998
1677065405.096741,4962,0.07972428947687149
1677065410.3034625,4971,0.05342494323849678
1677065412.0393882,4974,0.03655354678630829
1677065456.066454,5050,0.23832190036773682
1677065457.2246628,5052,0.26041379570961
1677065457.8030581,5053,0.08804132044315338
1677065488.5275352,5106,0.10714004933834076
1677065504.7048414,5134,0.12283636629581451
1677065542.913931,5200,0.07323440909385681
1677065565.520747,5239,0.08988838642835617
1677065617.6496003,5329,0.3288767337799072
1677065626.9213665,5345,0.11567140370607376
1677065635.0414858,5359,0.14137879014015198
1677065670.4019551,5420,0.10948368906974792
1677065683.125845,5442,0.12111719697713852
1677065725.3462768,5515,0.08622884005308151
1677065726.5040023,5517,0.021820666268467903
1677065745.0204911,5549,0.07912667095661163
1677065767.046634,5587,0.06473375856876373
1677066079.4829419,5660,0.03938032314181328
1677066081.7957659,5664,0.08461892604827881
1677066090.4733832,5679,0.12191187590360641
1677066114.1722746,5720,0.22433941066265106
1677066115.9139302,5723,0.11753994971513748
1677066146.5759234,5776,0.06409347802400589
1677066165.0868366,5808,0.03863345459103584
1677066174.9268618,5825,0.0464058592915535
1677066176.664483,5828,0.14052234590053558
1677066196.3704493,5862,0.10998527705669403
1677066197.5273416,5864,0.10730158537626266
1677066201.5731812,5871,0.321832537651062
1677066222.4040568,5907,0.06450159102678299
1677066234.553216,5928,0.032503094524145126
1677066248.4402533,5952,0.05341518670320511
1677066251.3352628,5957,0.14289714395999908
1677066254.8034565,5963,0.0724812000989914
1677066270.4320982,5990,0.17541977763175964
1677066282.018784,6010,0.1533786952495575
1677066284.9107788,6015,0.10225364565849304
1677066293.58157,6030,0.06321720778942108
1677066321.3718784,6078,0.06794918328523636
1677066346.2705977,6121,0.05034422129392624
1677066352.0628757,6131,0.0822002962231636
1677066381.0176034,6181,0.08179064840078354
1677066392.0167897,6200,0.3145863711833954
1677066399.5397232,6213,0.059968817979097366
1677066403.0102084,6219,0.10134169459342957
1677066410.5338867,6232,0.09705039113759995
1677066443.5023751,6289,0.04342195764183998
1677066456.7748945,6312,0.09409715980291367
1677066459.6631188,6317,0.12097688764333725
